PROJECT_ID,Initial_completion_date,final_completion_date,Delayed,Amount_of_Delay_(Quarters),Initial_ESTIMATED_COST,Final_Estimated_Budget,Budget_Overrun,percentage_of_overrun,CT_Commercial,CT_Industrial,CT_Infrastructure,CT_Institutional,CT_Residential,CST_Primarily_residential_Single_use,CST_Education,CST_Utilities,CST_Roads_Highways,CST_Oil_Gas,CST_Health,CST_Mixed_Use,CST_Recreation,CST_Office,CST_Others,REGION,Region_Mainland/Southwest,Region_Vancouver_Island/Coast,Region_Thompson-Okanagan,Region_Northeast,Region_others,MUNICIPALITY,Urban,Type_Owner_priv,Type_Owner_prov,Type_Owner_part,Project_Status_Construction_started,Project_Status_Proposed,Project_Status_On_hold,Project_Status_Completed,PUBLIC_FUNDING_IND,GREEN_BUILDING_IND,FIRST_NATION_IND,Times_Delayed,Age,Jobs,Below_Average_Winter_Temp_Quarters,Quarters_with_Above_Average_Snowfall,Quarters_with_Above_Average_Rain
1227,2020-Q4,2025-Q4,1,20,40,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5. Cariboo,0,0,0,0,1,108 Mile,0,1,0,0,0,1,0,0,0,0,0,1,0,286,4,10,4
1237,2016-Q2,2020-Q2,1,16,250,250,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2. Mainland/Southwest,1,0,0,0,0,Chilliwack,1,1,0,0,1,0,0,0,1,0,0,5,15.5,715,2,4,3
1258,2016-Q2,2017-Q2,1,4,60,60,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1. Vancouver Island/Coast,0,1,0,0,0,View Royal,0,1,0,0,1,0,0,0,0,0,0,3,11.5,172,2,4,4
1269,2017-Q4,2027-Q4,1,40,650,650,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1. Vancouver Island/Coast,0,1,0,0,0,Victoria,1,1,0,0,0,1,0,0,1,1,0,3,3.5,5949,4,4,3
1280,2016-Q4,2019-Q4,1,12,500,500,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3. Thompson-Okanagan,0,0,1,0,0,Kelowna,1,1,0,0,1,0,0,0,0,0,0,3,15.5,1430,0,4,2
1290,2017-Q2,2017-Q3,1,1,1000,1000,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2. Mainland/Southwest,1,0,0,0,0,Surrey,1,1,0,0,1,0,0,0,0,0,0,1,14.5,2860,1,4,5
1324,2019-Q4,2019-Q4,0,0,480,480,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1. Vancouver Island/Coast,0,1,0,0,0,Esquimalt,0,0,1,0,0,1,0,0,0,0,0,0,3.5,397,2,4,4
1332,2017-Q4,2020-Q4,1,12,100,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8. Northeast,0,0,0,1,0,Tumbler Ridge area,0,1,0,0,0,1,0,0,0,0,0,2,3.5,144,2,11,4
1356,2016-Q4,2017-Q4,1,4,80,80,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1. Vancouver Island/Coast,0,1,0,0,0,Campbell River,1,1,0,0,1,0,0,0,0,0,0,1,14.5,229,2,5,5
1375,2018-Q4,2019-Q3,1,3,440,440,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5. Cariboo,0,0,0,0,1,Prince George To Cache Creek,1,0,1,0,1,0,0,0,1,0,0,1,14.5,1807,4,10,4
